Post_ID,Pseudo_Caption,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Viral
Post_340,twitter Tweet about #Fashion posted in Canada,2023-07-21,  twitter  ,#Fashion,Tweet,Canada,3806052.0,336179.0,69578.0,32549.0,0
Post_3991,youtube Shorts about #Fashion posted in Japan,2022-01-14,YOUTUBE,#Fashion,Shorts,japan,1185769.0,77172.0,70940.0,21826.0,0
Post_4596,twitter Shorts about #Challenge posted in Australia,2023-02-27,Twitter,#Challenge,Shorts,  Australia  ,-4631125.0 Views,-42569.0 Likes,-52242.0 Shares,-7834.0 Comments,0
Post_4207,twitter Video about #Viral posted in Brazil,2022-07-16,TWITTER,#Viral,Video,Brazil,3958044.0,313560.0,9096.0,9926.0,0
Post_3763,tiktok Tweet about #Gaming posted in India,2023-06-21,TIKTOK,#Gaming,Tweet,india,2430582.0,247328.0,36608.0,17278.0,0
Post_979,twitter Video about #Music posted in India,2022-01-11,  twitter  ,#Music,Video,India,1803388.0,484300.0,31088.0,15886.0,0
Post_480,instagram Shorts about #Music posted in Brazil,2022-03-01,  instagram  ,#Music,Shorts,brazil,3683276.0,428789.0,65984.0,5073.0,1
Post_1968,instagram Reel about #Tech posted in Germany,2023-04-27,INSTAGRAM,#Tech,Reel,  Germany  ,1899136.0,434017.0,45642.0,47397.0,0
Post_3406,instagram Video about #Viral posted in Canada,2022-01-09,INSTAGRAM,#Viral,Video,Canada,4627367.0,176050.0,52562.0,12843.0,0
Post_3186,twitter Shorts about #Challenge posted in Australia,2023-02-10,twitter,#Challenge,Shorts,AUSTRALIA,1680858.0,306722.0,26650.0,22652.0,0
Post_1142,youtube Post about #Tech posted in Brazil,2023-06-15,  youtube  ,#Tech,Post,  Brazil  ,651443.0,338455.0,43231.0,38317.0,1
Post_4140,instagram Video about #Fitness posted in Germany,2023-04-17,  instagram  ,#Fitness,Video,  Germany  ,3263236.0,473992.0,14768.0,33422.0,0
Post_1532,tiktok Live Stream about #Fitness posted in Brazil,2022-06-20,TIKTOK,#Fitness,Live Stream,brazil,4321729.0,395257.0,25222.0,9123.0,0
Post_4346,tiktok Video about #Viral posted in Japan,2023-09-07,Tiktok,#Viral,Video,JAPAN,3059064.0,460974.0,21878.0,36819.0,0
Post_951,tiktok Reel about #Fitness posted in Brazil,2022-06-26,TIKTOK,#Fitness,Reel,BRAZIL,-3207539.0 Views,-370923.0 Likes,-31855.0 Shares,-28893.0 Comments,1
Post_2939,youtube Reel about #Tech posted in Brazil,2023-08-28,  youtube  ,#Tech,Reel,brazil,3385451.0,448723.0,7234.0,43129.0,0
Post_4868,instagram Video about #Comedy posted in Japan,2022-12-11,Instagram,#Comedy,Video,japan,3546380.0,403218.0,81324.0,33580.0,0
Post_281,twitter Shorts about #Comedy posted in UK,2023-01-20,twitter,#Comedy,Shorts,  UK  ,1165962.0,105888.0,48384.0,47511.0,0
Post_1344,instagram Reel about #Fashion posted in Australia,2023-11-06,  instagram  ,#Fashion,Reel,  Australia  ,2884482.0,205837.0,18884.0,34478.0,0
Post_1194,twitter Post about #Gaming posted in India,2022-09-30,TWITTER,#Gaming,Post,India,-950724.0 Views,-371343.0 Likes,-52165.0 Shares,-30174.0 Comments,1
Post_4259,twitter Video about #Education posted in Japan,2022-08-04,twitter,#Education,Video,  Japan  ,3140471.0,443708.0,64826.0,22130.0,0
Post_4350,instagram Post about #Music posted in Germany,2022-04-24,  instagram  ,#Music,Post,GERMANY,196186.0,418310.0,29119.0,33093.0,1
Post_2265,instagram Live Stream about #Education posted in Canada,2022-07-01,Instagram,#Education,Live Stream,canada,4306085.0,274903.0,59924.0,38017.0,0
Post_3194,youtube Shorts about #Fashion posted in Canada,2023-03-06,  youtube  ,#Fashion,Shorts,CANADA,3986877.0,179971.0,22707.0,20886.0,0
Post_318,twitter Video about #Fitness posted in UK,2023-12-05,TWITTER,#Fitness,Video,  UK  ,4719001.0,143216.0,93614.0,38476.0,0
Post_4599,youtube Post about #Education posted in USA,2022-02-23,Youtube,#Education,Post,Usa,-839571.0 Views,-217743.0 Likes,-99857.0 Shares,-21632.0 Comments,1
Post_1250,twitter Live Stream about #Music posted in Australia,2022-07-09,twitter,#Music,Live Stream,AUSTRALIA,1609482.0,403027.0,23102.0,44642.0,0
Post_4160,instagram Reel about #Dance posted in UK,2022-08-04,Instagram,#Dance,Reel,  UK  ,4356395.0,367535.0,89909.0,10900.0,0
Post_1663,tiktok Live Stream about #Music posted in India,2023-11-26,TIKTOK,#Music,Live Stream,India,1596995.0,92047.0,65455.0,20030.0,0
Post_322,youtube Post about #Fashion posted in Brazil,2022-05-31,youtube,#Fashion,Post,  Brazil  ,2824208.0,151603.0,30104.0,8914.0,0
Post_1824,youtube Reel about #Fitness posted in USA,2022-08-01,youtube,#Fitness,Reel,Usa,1910857.0,341639.0,81369.0,41098.0,0
Post_3091,instagram Shorts about #Challenge posted in Brazil,2023-11-05,instagram,#Challenge,Shorts,Brazil,806577.0,50620.0,69364.0,17406.0,0
Post_2524,youtube Video about #Viral posted in USA,2022-12-13,youtube,#Viral,Video,usa,1197159.0,216342.0,10156.0,7638.0,0
Post_756,tiktok Reel about #Education posted in USA,2023-07-13,Tiktok,#Education,Reel,Usa,4468711.0,355075.0,72834.0,22022.0,0
Post_3234,twitter Live Stream about #Fashion posted in Germany,2023-08-05,  twitter  ,#Fashion,Live Stream,Germany,3088030.0,409248.0,48230.0,35140.0,0
Post_2830,instagram Live Stream about #Fashion posted in UK,2023-06-28,INSTAGRAM,#Fashion,Live Stream,Uk,3243480.0,129261.0,28764.0,26090.0,0
Post_2438,tiktok Tweet about #Music posted in Canada,2022-08-12,tiktok,#Music,Tweet,CANADA,2816495.0,370066.0,79854.0,29476.0,0
Post_4274,twitter Shorts about #Challenge posted in Canada,2023-07-21,TWITTER,#Challenge,Shorts,Canada,2668074.0,43458.0,72133.0,24287.0,0
Post_2125,instagram Live Stream about #Viral posted in USA,2022-07-30,instagram,#Viral,Live Stream,Usa,812313.0,84212.0,67698.0,12732.0,0
Post_2871,twitter Tweet about #Comedy posted in USA,2022-08-24,twitter,#Comedy,Tweet,USA,930160.0,202154.0,89158.0,36847.0,1
Post_424,instagram Live Stream about #Challenge posted in Canada,2022-08-08,INSTAGRAM,#Challenge,Live Stream,canada,3592674.0,160629.0,8445.0,9171.0,0
Post_2118,instagram Post about #Tech posted in USA,2022-05-25,instagram,#Tech,Post,  USA  ,2800983.0,294183.0,6110.0,21898.0,0
Post_3557,tiktok Video about #Comedy posted in Brazil,2022-06-26,tiktok,#Comedy,Video,  Brazil  ,2508707.0,218230.0,85351.0,34203.0,0
Post_3761,instagram Reel about #Comedy posted in Canada,2022-07-06,instagram,#Comedy,Reel,  Canada  ,4337899.0,360339.0,90144.0,26248.0,0
Post_4206,twitter Tweet about #Viral posted in UK,2022-09-09,Twitter,#Viral,Tweet,  UK  ,-1470152.0 Views,-10721.0 Likes,-9486.0 Shares,-8235.0 Comments,0
Post_1478,instagram Shorts about #Viral posted in India,2022-12-21,instagram,#Viral,Shorts,INDIA,4459322.0,130429.0,41640.0,43576.0,1
Post_3400,tiktok Video about #Viral posted in Brazil,2023-07-01,  tiktok  ,#Viral,Video,Brazil,705147.0,61971.0,67431.0,44195.0,1
Post_155,twitter Shorts about #Dance posted in Canada,2023-03-06,Twitter,#Dance,Shorts,canada,2127698.0,193956.0,14856.0,32442.0,0
Post_1038,youtube Tweet about #Comedy posted in USA,2022-06-28,Youtube,#Comedy,Tweet,usa,3464426.0,174304.0,3700.0,7670.0,0
Post_4301,youtube Post about #Dance posted in Germany,2023-11-14,YOUTUBE,#Dance,Post,GERMANY,4895487.0,174541.0,44267.0,7342.0,0
Post_3830,youtube Reel about #Tech posted in Australia,2022-10-06,YOUTUBE,#Tech,Reel,australia,1123373.0,8196.0,67615.0,20741.0,0
Post_4376,youtube Tweet about #Education posted in UK,2022-06-18,  youtube  ,#Education,Tweet,UK,1174209.0,49685.0,36336.0,21636.0,0
Post_3791,instagram Shorts about #Education posted in India,2022-12-17,instagram,#Education,Shorts,INDIA,1532579.0,318112.0,7994.0,1220.0,0
Post_3762,twitter Reel about #Dance posted in USA,2022-01-11,TWITTER,#Dance,Reel,usa,1982470.0,38772.0,59724.0,2247.0,0
Post_3105,youtube Shorts about #Education posted in Canada,2023-06-05,YOUTUBE,#Education,Shorts,  Canada  ,4702260.0,323545.0,45684.0,349.0,0
Post_1659,tiktok Live Stream about #Education posted in USA,2023-03-26,tiktok,#Education,Live Stream,Usa,4836204.0,290221.0,34793.0,15068.0,1
Post_4391,instagram Reel about #Fashion posted in Brazil,2022-02-12,instagram,#Fashion,Reel,brazil,2750057.0,417313.0,58474.0,6414.0,0
Post_2075,instagram Shorts about #Fashion posted in Australia,2022-02-16,Instagram,#Fashion,Shorts,australia,293601.0,338084.0,69736.0,30711.0,1
Post_4455,instagram Reel about #Challenge posted in Australia,2023-09-29,instagram,#Challenge,Reel,AUSTRALIA,3924268.0,498261.0,8499.0,11392.0,0
Post_1149,twitter Live Stream about #Education posted in Canada,2022-05-21,Twitter,#Education,Live Stream,  Canada  ,1015391.0,388747.0,2397.0,15351.0,0
Post_4446,instagram Post about #Gaming posted in Canada,2023-06-10,INSTAGRAM,#Gaming,Post,  Canada  ,637729.0,241923.0,62036.0,44594.0,0
Post_3183,instagram Live Stream about #Gaming posted in Brazil,2023-06-20,  instagram  ,#Gaming,Live Stream,brazil,4004484.0,28922.0,67896.0,39287.0,1
Post_894,twitter Live Stream about #Tech posted in Germany,2023-01-03,twitter,#Tech,Live Stream,Germany,2034778.0,167327.0,83115.0,26341.0,0
Post_3982,twitter Post about #Music posted in Canada,2022-12-22,Twitter,#Music,Post,CANADA,-1776924.0 Views,-72352.0 Likes,-86364.0 Shares,-20563.0 Comments,0
Post_4817,tiktok Post about #Dance posted in Germany,2023-05-04,  tiktok  ,#Dance,Post,GERMANY,-3667805.0 Views,-292175.0 Likes,-58377.0 Shares,-2200.0 Comments,0
Post_2485,tiktok Video about #Challenge posted in India,2022-11-06,Tiktok,#Challenge,Video,india,2497149.0,23114.0,23917.0,18942.0,0
Post_3604,tiktok Video about #Dance posted in Brazil,2023-03-19,TIKTOK,#Dance,Video,BRAZIL,4997284.0,394892.0,60213.0,17338.0,0
Post_1427,twitter Live Stream about #Viral posted in UK,2022-02-07,twitter,#Viral,Live Stream,uk,3533891.0,362421.0,44888.0,6152.0,0
Post_3275,instagram Post about #Tech posted in Brazil,2022-09-28,instagram,#Tech,Post,BRAZIL,384054.0,131704.0,17338.0,882.0,1
Post_1359,instagram Shorts about #Music posted in Germany,2022-05-13,Instagram,#Music,Shorts,Germany,4747943.0,215327.0,30817.0,27401.0,0
Post_3546,twitter Tweet about #Gaming posted in Brazil,2022-05-04,Twitter,#Gaming,Tweet,BRAZIL,2486494.0,255155.0,82101.0,13603.0,0
Post_4380,tiktok Live Stream about #Dance posted in Japan,2023-05-01,Tiktok,#Dance,Live Stream,JAPAN,746217.0,153509.0,56520.0,48786.0,1
Post_3768,tiktok Post about #Challenge posted in India,2022-05-01,tiktok,#Challenge,Post,INDIA,-513589.0 Views,-314068.0 Likes,-81740.0 Shares,-24653.0 Comments,1
Post_1749,youtube Live Stream about #Tech posted in Germany,2022-06-23,YOUTUBE,#Tech,Live Stream,GERMANY,502571.0,222460.0,43807.0,47455.0,1
Post_4822,twitter Live Stream about #Music posted in USA,2022-11-10,  twitter  ,#Music,Live Stream,  USA  ,3902066.0,108016.0,90527.0,29819.0,0
Post_4882,youtube Post about #Viral posted in Japan,2022-07-30,youtube,#Viral,Post,JAPAN,-3948787.0 Views,-336320.0 Likes,-47744.0 Shares,-25126.0 Comments,0
Post_4243,instagram Tweet about #Gaming posted in Australia,2023-02-09,instagram,#Gaming,Tweet,australia,1027434.0,150441.0,58194.0,45827.0,0
Post_1443,tiktok Post about #Challenge posted in Japan,2022-12-26,  tiktok  ,#Challenge,Post,  Japan  ,2954922.0,83459.0,90758.0,11510.0,0
Post_2171,twitter Video about #Comedy posted in Japan,2023-06-19,twitter,#Comedy,Video,JAPAN,-4620289.0 Views,-304155.0 Likes,-43414.0 Shares,-44280.0 Comments,1
Post_52,youtube Live Stream about #Music posted in Canada,2023-01-14,  youtube  ,#Music,Live Stream,CANADA,2258494.0,159509.0,25505.0,8605.0,0
Post_2456,youtube Live Stream about #Tech posted in Germany,2023-03-01,youtube,#Tech,Live Stream,Germany,1708144.0,56901.0,20001.0,7802.0,0
Post_2249,twitter Tweet about #Viral posted in Australia,2022-03-20,Twitter,#Viral,Tweet,AUSTRALIA,3294369.0,278905.0,91660.0,30693.0,0
Post_4377,tiktok Tweet about #Music posted in Germany,2022-10-24,  tiktok  ,#Music,Tweet,Germany,4603856.0,171523.0,44524.0,46309.0,0
Post_2439,tiktok Reel about #Challenge posted in Australia,2023-02-10,  tiktok  ,#Challenge,Reel,Australia,2586745.0,404333.0,74597.0,46511.0,0
Post_2851,twitter Live Stream about #Viral posted in UK,invalid_date,Twitter,#misc,Live Stream,UK,,,,,0
Post_3423,youtube Tweet about #Education posted in USA,2023-04-24,  youtube  ,#Education,Tweet,usa,441218.0,23454.0,67011.0,28155.0,1
Post_3813,instagram Shorts about #Dance posted in Germany,2023-10-27,Instagram,#Dance,Shorts,  Germany  ,-103062.0 Views,-41968.0 Likes,-72450.0 Shares,-12902.0 Comments,1
Post_176,youtube Post about #Music posted in UK,2023-11-27,  youtube  ,#Music,Post,Uk,-2126429.0 Views,-36274.0 Likes,-51278.0 Shares,-44234.0 Comments,0
Post_223,instagram Post about #Tech posted in UK,2022-08-09,Instagram,#Tech,Post,Uk,-4326885.0 Views,-300734.0 Likes,-1870.0 Shares,-1496.0 Comments,0
Post_4424,instagram Tweet about #Gaming posted in Germany,2023-03-22,INSTAGRAM,#Gaming,Tweet,Germany,554142.0,60701.0,68343.0,16296.0,1
Post_4682,twitter Post about #Education posted in Germany,2023-08-04,twitter,#Education,Post,germany,4499829.0,104787.0,71972.0,44894.0,0
Post_3442,tiktok Reel about #Education posted in USA,invalid_date,TIKTOK,#unknown,Reel,Usa,,,,,0
Post_2940,youtube Video about #Fashion posted in Germany,invalid_date,Youtube,#none,Video,Germany,,,,,1
Post_1352,tiktok Live Stream about #Fitness posted in Australia,2022-06-12,TIKTOK,#Fitness,Live Stream,australia,675163.0,272637.0,95308.0,27495.0,1
Post_1471,twitter Video about #Tech posted in Germany,2023-05-02,Twitter,#Tech,Video,GERMANY,4295904.0,96005.0,37813.0,34742.0,0
Post_2241,tiktok Tweet about #Comedy posted in Canada,2023-02-21,  tiktok  ,#Comedy,Tweet,  Canada  ,2204106.0,441761.0,7826.0,15774.0,0
Post_573,tiktok Video about #Dance posted in Canada,2022-04-12,TIKTOK,#Dance,Video,canada,885342.0,214451.0,28768.0,31466.0,1
Post_1803,youtube Shorts about #Tech posted in Australia,2022-06-05,Youtube,#Tech,Shorts,AUSTRALIA,2082007.0,190921.0,58478.0,48329.0,0
Post_3179,twitter Shorts about #Dance posted in USA,2022-02-19,  twitter  ,#Dance,Shorts,  USA  ,2663152.0,206052.0,32784.0,32820.0,1
Post_488,instagram Post about #Dance posted in USA,2022-09-28,Instagram,#Dance,Post,  USA  ,4533957.0,278567.0,60593.0,12923.0,0
Post_495,tiktok Tweet about #Music posted in Canada,2023-01-11,tiktok,#Music,Tweet,CANADA,3971254.0,118065.0,64239.0,29490.0,0
Post_69,twitter Tweet about #Fitness posted in USA,2022-01-20,  twitter  ,#Fitness,Tweet,USA,-581577.0 Views,-341805.0 Likes,-67524.0 Shares,-485.0 Comments,1
Post_4227,twitter Shorts about #Challenge posted in Canada,2023-02-03,twitter,#Challenge,Shorts,Canada,4876711.0,213421.0,13563.0,48777.0,1
Post_2602,twitter Shorts about #Comedy posted in USA,2023-04-05,TWITTER,#Comedy,Shorts,usa,-4735015.0 Views,-459475.0 Likes,-93656.0 Shares,-26336.0 Comments,0
Post_3587,twitter Live Stream about #Tech posted in Japan,invalid_date,  twitter  ,#error,Live Stream,Japan,,,,,1
Post_3052,instagram Tweet about #Music posted in Canada,2022-03-02,instagram,#Music,Tweet,canada,-2528462.0 Views,-245856.0 Likes,-95659.0 Shares,-33681.0 Comments,0
Post_4748,twitter Live Stream about #Challenge posted in India,2022-11-27,TWITTER,#Challenge,Live Stream,india,641205.0,300091.0,92655.0,43197.0,0
Post_2067,twitter Reel about #Tech posted in Australia,2023-07-05,  twitter  ,#Tech,Reel,AUSTRALIA,-2488603.0 Views,-78159.0 Likes,-50447.0 Shares,-42943.0 Comments,0
Post_256,twitter Tweet about #Challenge posted in USA,2022-06-07,twitter,#Challenge,Tweet,  USA  ,2276898.0,337038.0,56049.0,13735.0,0
Post_3488,youtube Shorts about #Dance posted in Japan,2022-05-11,youtube,#Dance,Shorts,Japan,3311639.0,302547.0,40563.0,34952.0,0
Post_1789,instagram Reel about #Challenge posted in India,2022-03-28,INSTAGRAM,#Challenge,Reel,INDIA,-3429630.0 Views,-163927.0 Likes,-73040.0 Shares,-10283.0 Comments,1
Post_889,tiktok Tweet about #Music posted in Brazil,2022-02-09,Tiktok,#Music,Tweet,brazil,1963015.0,417328.0,41576.0,3075.0,0
Post_2591,youtube Tweet about #Dance posted in Canada,2023-03-06,youtube,#Dance,Tweet,canada,4658092.0,187743.0,97119.0,10070.0,0
Post_1019,twitter Tweet about #Comedy posted in UK,2023-11-28,TWITTER,#Comedy,Tweet,UK,106972.0,206432.0,65280.0,9800.0,0
Post_1432,youtube Tweet about #Gaming posted in Brazil,2023-09-25,youtube,#Gaming,Tweet,brazil,4812846.0,282674.0,48887.0,13168.0,0
Post_3081,tiktok Video about #Tech posted in Australia,2022-06-28,Tiktok,#Tech,Video,AUSTRALIA,2056875.0,483813.0,54265.0,10201.0,0
Post_1533,youtube Live Stream about #Dance posted in USA,2022-04-23,youtube,#Dance,Live Stream,USA,111610.0,3213.0,71922.0,12065.0,1
Post_143,instagram Tweet about #Challenge posted in USA,invalid_date,  instagram  ,#none,Tweet,USA,,,,,0
Post_2373,instagram Reel about #Viral posted in UK,2022-09-08,INSTAGRAM,#Viral,Reel,Uk,2674421.0,365369.0,78273.0,45815.0,0
Post_2898,instagram Live Stream about #Tech posted in Canada,2023-05-08,Instagram,#Tech,Live Stream,CANADA,4926887.0,377993.0,44337.0,34514.0,1
Post_2015,twitter Shorts about #Viral posted in Japan,2023-10-16,Twitter,#Viral,Shorts,Japan,-2301844.0 Views,-123130.0 Likes,-86696.0 Shares,-34714.0 Comments,0
Post_126,instagram Video about #Fashion posted in Japan,2022-10-20,Instagram,#Fashion,Video,japan,962137.0,319381.0,69098.0,38387.0,1
Post_2472,tiktok Reel about #Music posted in Australia,2023-03-02,TIKTOK,#misc,Reel,Australia,,,,,1
Post_3264,youtube Live Stream about #Viral posted in Japan,2022-10-20,YOUTUBE,#Viral,Live Stream,japan,783895.0,430648.0,37387.0,35805.0,0
Post_657,youtube Tweet about #Fitness posted in UK,2023-12-02,  youtube  ,#Fitness,Tweet,  UK  ,2599776.0,486383.0,53906.0,18139.0,0
Post_433,instagram Video about #Music posted in Germany,2023-05-06,INSTAGRAM,#Music,Video,  Germany  ,693490.0,271218.0,30947.0,20950.0,1
Post_2325,tiktok Reel about #Tech posted in Australia,2023-12-29,TIKTOK,#Tech,Reel,AUSTRALIA,3347578.0,376879.0,24479.0,27327.0,0
Post_983,tiktok Shorts about #Fitness posted in Canada,2022-09-02,TIKTOK,#Fitness,Shorts,  Canada  ,-3269647.0 Views,-395557.0 Likes,-90552.0 Shares,-37531.0 Comments,1
Post_4636,tiktok Shorts about #Challenge posted in Canada,2023-11-09,TIKTOK,#Challenge,Shorts,Canada,-3508583.0 Views,-426856.0 Likes,-29746.0 Shares,-3883.0 Comments,0
Post_4130,tiktok Post about #Dance posted in Germany,invalid_date,Tiktok,#error,Post,germany,,,,,0
Post_4814,tiktok Tweet about #Fitness posted in Canada,2023-11-11,TIKTOK,#Fitness,Tweet,  Canada  ,4852422.0,454011.0,36924.0,24724.0,0
Post_238,tiktok Reel about #Dance posted in UK,2022-04-30,Tiktok,#Dance,Reel,uk,1111002.0,266261.0,22269.0,39363.0,0
Post_3013,twitter Live Stream about #Tech posted in UK,2022-07-15,Twitter,#Tech,Live Stream,Uk,703331.0,175184.0,57753.0,39627.0,1
Post_1213,instagram Video about #Viral posted in Canada,2023-07-10,Instagram,#Viral,Video,CANADA,2950546.0,305105.0,99587.0,34102.0,0
Post_2925,youtube Video about #Dance posted in Japan,2023-05-02,YOUTUBE,#Dance,Video,Japan,2454688.0,386172.0,96666.0,10872.0,1
Post_3765,twitter Post about #Gaming posted in Brazil,2023-03-01,Twitter,#Gaming,Post,Brazil,4476274.0,67640.0,77088.0,2976.0,0
Post_1472,tiktok Live Stream about #Education posted in India,2022-05-13,tiktok,#Education,Live Stream,  India  ,1325071.0,32968.0,51401.0,6451.0,1
Post_1282,twitter Live Stream about #Viral posted in Australia,2023-10-12,Twitter,#error,Live Stream,Australia,,,,,1
Post_2073,tiktok Reel about #Challenge posted in Brazil,2022-09-29,tiktok,#Challenge,Reel,  Brazil  ,1579972.0,111961.0,78755.0,42502.0,0
Post_2963,tiktok Video about #Comedy posted in Canada,2022-03-07,TIKTOK,#Comedy,Video,  Canada  ,-4059525.0 Views,-396471.0 Likes,-82515.0 Shares,-13107.0 Comments,0
Post_4594,youtube Post about #Music posted in Canada,2022-10-19,Youtube,#Music,Post,Canada,1186804.0,210681.0,58049.0,2339.0,0
Post_1912,tiktok Live Stream about #Music posted in USA,2022-07-29,  tiktok  ,#Music,Live Stream,usa,3868115.0,16509.0,41258.0,35367.0,0
Post_1911,youtube Video about #Challenge posted in Germany,2022-11-26,YOUTUBE,#Challenge,Video,  Germany  ,4846462.0,47915.0,71386.0,38987.0,0
Post_553,tiktok Video about #Fitness posted in UK,2022-06-25,tiktok,#Fitness,Video,  UK  ,4489295.0,37622.0,68224.0,46460.0,0
Post_145,twitter Post about #Viral posted in USA,2023-02-05,TWITTER,#Viral,Post,  USA  ,-3940355.0 Views,-82304.0 Likes,-68754.0 Shares,-15897.0 Comments,1
Post_3117,tiktok Shorts about #Education posted in Australia,2023-05-03,TIKTOK,#Education,Shorts,  Australia  ,2285478.0,448515.0,41351.0,13176.0,0
Post_66,tiktok Post about #Education posted in Japan,2022-11-03,TIKTOK,#Education,Post,JAPAN,855465.0,14117.0,73654.0,46422.0,1
Post_662,instagram Post about #Dance posted in Germany,2023-10-18,  instagram  ,#Dance,Post,germany,1156532.0,111161.0,31021.0,33505.0,0
Post_4717,tiktok Tweet about #Education posted in Japan,2023-04-02,TIKTOK,#Education,Tweet,Japan,2011861.0,280278.0,88874.0,1104.0,0
Post_3058,youtube Video about #Dance posted in Germany,2023-12-15,  youtube  ,#Dance,Video,Germany,391207.0,313055.0,24804.0,6375.0,1
Post_1897,twitter Tweet about #Comedy posted in India,2023-10-09,Twitter,#Comedy,Tweet,INDIA,4507100.0,363826.0,62646.0,25854.0,0
Post_2349,twitter Live Stream about #Fitness posted in India,2023-05-11,Twitter,#Fitness,Live Stream,INDIA,2095372.0,123030.0,65568.0,5739.0,1
Post_454,instagram Shorts about #Education posted in Canada,2022-07-16,INSTAGRAM,#Education,Shorts,  Canada  ,2388920.0,44750.0,78711.0,21652.0,0
Post_2042,instagram Reel about #Challenge posted in Australia,2023-01-13,  instagram  ,#Challenge,Reel,AUSTRALIA,453984.0,374672.0,81490.0,46887.0,1
Post_744,twitter Live Stream about #Challenge posted in USA,2022-09-12,TWITTER,#Challenge,Live Stream,USA,2656794.0,311147.0,27434.0,13837.0,0
Post_3141,tiktok Shorts about #Viral posted in Brazil,2023-12-20,Tiktok,#Viral,Shorts,brazil,1546442.0,244895.0,62161.0,17635.0,0
Post_2326,instagram Reel about #Challenge posted in Australia,2023-01-11,  instagram  ,#Challenge,Reel,Australia,829327.0,240625.0,50607.0,2433.0,1
Post_2687,twitter Shorts about #Comedy posted in Japan,2023-10-18,twitter,#Comedy,Shorts,  Japan  ,-2910127.0 Views,-458172.0 Likes,-9766.0 Shares,-37075.0 Comments,0
Post_381,tiktok Tweet about #Gaming posted in India,2022-06-23,Tiktok,#Gaming,Tweet,INDIA,-1572385.0 Views,-2798.0 Likes,-3479.0 Shares,-39467.0 Comments,0
Post_4004,instagram Reel about #Fitness posted in Australia,2023-06-09,INSTAGRAM,#Fitness,Reel,Australia,309913.0,233668.0,86886.0,20588.0,1
Post_3902,twitter Live Stream about #Dance posted in India,2022-08-03,  twitter  ,#Dance,Live Stream,INDIA,4027776.0,199325.0,98891.0,41321.0,1
Post_278,tiktok Reel about #Education posted in Japan,2022-01-24,TIKTOK,#Education,Reel,  Japan  ,-1483481.0 Views,-353517.0 Likes,-41615.0 Shares,-11414.0 Comments,0
Post_3572,youtube Tweet about #Music posted in Australia,2023-05-07,  youtube  ,#Music,Tweet,Australia,4090480.0,64664.0,40573.0,7310.0,0
Post_3681,instagram Post about #Dance posted in Australia,2022-01-09,INSTAGRAM,#Dance,Post,australia,-3989657.0 Views,-351332.0 Likes,-76680.0 Shares,-36031.0 Comments,0
Post_472,tiktok Tweet about #Fashion posted in Australia,2022-01-12,  tiktok  ,#Fashion,Tweet,australia,1123564.0,306470.0,76377.0,46344.0,1
Post_3129,tiktok Video about #Music posted in Japan,2023-04-15,Tiktok,#Music,Video,japan,4096259.0,355421.0,35317.0,8773.0,1
